role	group	accession	label
LAB	Lactococcus	GCF_000009425.1	Lactococcus_cremoris_MG1363
LAB	Streptococcus_thermophilus	GCF_029866985.1	Streptococcus_thermophilus_DGCC7710
LAB	Lactiplantibacillus	GCF_000203855.3	Lactiplantibacillus_plantarum_WCFS1
LAB	Lactobacillus_sensu_stricto	GCF_000015385.1	Lactobacillus_helveticus_DPC4571
LAB	Oenococcus	GCF_000014385.1	Oenococcus_oeni_PSU1
OUTGROUP	Bacillales	GCF_000009045.1	Bacillus_subtilis_168
OUTGROUP	Bacillales	GCF_000196035.1	Listeria_monocytogenes_EGDe
